00:17:40:17	00:17:42:22	我有什麼立場去阻止他啦
00:17:42:22	00:17:46:03	再說 是我自己的孩子不乖
00:17:46:03	00:17:48:07	你怎麼這麼說啦
00:17:48:07	00:17:51:25	阿駝啊... 不要再打了
00:17:51:25	00:17:53:25	你再打下去會出人命
00:17:53:25	00:17:55:18	阿駝啊
00:17:55:18	00:17:57:19	怎麼都喊不聽
00:17:57:19	00:17:59:04	媽...
00:18:02:06	00:18:03:26	阿媽...
00:18:03:26	00:18:05:02	不聽話
00:18:05:02	00:18:06:04	我不敢了
00:18:06:04	00:18:07:01	還有下次 什麼不敢
00:18:07:01	00:18:10:20	別人的孩子不用你教訓啦
00:18:10:20	00:18:12:22	有阿虎和阿月
00:18:12:22	00:18:15:02	他們自己會教啦
00:18:15:02	00:18:16:02	只要是張家的子孫
00:18:16:02	00:18:17:22	不乖就要教訓啦
00:18:17:22	00:18:18:29	我有沒有說過
00:18:18:29	00:18:20:09	魚池邊不准去
00:18:20:09	00:18:22:03	我有沒有說
00:18:22:03	00:18:23:15	我沒有去魚池
00:18:23:15	00:18:26:07	我整個下午都在這裡打彈珠
00:18:26:07	00:18:27:16	還說沒有
00:18:27:16	00:18:29:07	整個魚池邊都是腳印
00:18:29:07	00:18:29:28	這麼大的腳印
00:18:29:28	00:18:32:05	不是你的 還會是誰的
00:18:32:05	00:18:34:03	阿祥說沒有就是沒有啦
00:18:34:03	00:18:37:06	這個孩子我知道他不會說謊
00:18:37:06	00:18:38:17	他不會說謊
00:18:38:17	00:18:40:05	這傢伙最奸巧了
00:18:40:05	00:18:42:23	誰叫你這樣動手動腳的
00:18:42:23	00:18:44:02	七夕那天
00:18:44:02	00:18:46:15	帶一群孩子去圳溝邊玩
00:18:46:15	00:18:47:20	回來怕被我揍
00:18:47:20	00:18:50:02	叫大家手腳洗乾淨才進門
00:18:50:02	00:18:52:23	你看 這麼小就鬼頭鬼腦
00:18:52:23	00:18:53:23	現在沒有好好教訓
00:18:53:23	00:18:55:00	以後就不像話了
00:18:55:00	00:18:56:01	叫你不要再動手動腳
00:18:56:01	00:18:56:29	你沒聽到嗎
00:18:56:29	00:18:58:11	不然你要打 打我啦
00:18:58:11	00:19:00:16	你是存心要打死他嗎
00:19:00:16	00:19:01:17	對啊
00:19:01:17	00:19:03:16	你還對什麼
00:19:03:16	00:19:06:11	阿媽 我真的沒去魚池玩
00:19:06:11	00:19:08:25	不信你可以問他們
00:19:08:25	00:19:13:13	伯母 你沒在午睡喔
00:19:13:13	00:19:17:04	我端一碗魚湯來給你喝啦
00:19:17:04	00:19:19:23	這尾魚真的很瘦
